Name_work_space,Address
HEYGROUND,"Seongdong-gu, 22-8"
WeWork,"373 Gangnam-Daero, Seocho-gu"
Workflex,"300 Olympic-ro, Jamsil 6(yuk)-dong, Songpa-gu"
Seoul Startup Hub,"21 Baekbeom-ro 31-gil, Ahyeon-dong, Mapo-gu"
nonce,Gangnam-gu Bongeunsa Ro 22 gil 45-9
Fast Five,"1573-14 Seocho 3(sam)-dong, Seocho-gu"
Peachtree,"Yeoksam-ro 215, Namguk Building 2F"
Google for Startups Campus,"417, Yeongdong-daero, Gangnam-gu"
GARAGE 1,"Gangnam-gu, Seolleung-ro 578, 7F"
GARAGE 2,"Seocho-gu, Seochojungang-ro 18-gil 31, 1-4F"
GARAGE 3,"Gangnam-gu, Teheran-ro 128, 2-3F"
Maru 180,"790-6 Yeoksam 1(il)-dong, Gangnam-gu"
Spaces Gran Seoul,"7F, Tower 1 Gran Seoul 33, Jong-ro, Jongno-gu"
SPARKPLUS,"Yeoksam/ 2&17F, 201, Teheran-ro, Gangnam-gu"
FABLAB SEOUL,"Jangsadong 116-4, Sewoon Sang-ga #550 Jong-Ro Gu"
Cow & Dog,"20 Wangsimniro 2(i)-gil, Seongsu 1(il)-ga 1(il)-dong, Seongdong-gu"
Regus,"Seocho-gu, 396, Seocho-daero, 16th Floor"
